"downloaded","item_id","item_definition","category","17","18","20","21","22","23","24","25","26","27","28","29","30"
2023-03-22,46,"پفک","food_drink",0,0.2,0.67,0,1,0.67,0.7,0.67,0.67,0.8,0.78,1,1
2023-03-22,47,"پلو","food_drink",0,0,0.33,0,0,0.67,0.2,0.67,0.5,0.4,0.33,0,0
2023-03-22,48,"پنیر","food_drink",0,0.2,1,0,1,1,0.7,0.67,0.83,1,0.78,1,1
2023-03-22,49,"پیاز","food_drink",0,0.2,0.67,0,1,0.67,0.6,0.67,1,0.6,0.78,1,1
2023-03-22,50,"پیتزا","food_drink",0,0,0.33,0,0,0.67,0.4,0.33,0.5,0.4,0.33,0,1
2023-03-22,51,"تخممرغ","food_drink",0,0.2,1,0,1,0.67,0.4,1,0.83,1,0.78,1,1
2023-03-22,52,"تن ماهی","food_drink",0,0,0,0,0,0.33,0.1,0.33,0.33,0.2,0.22,0,0.5
2023-03-22,53,"توت","food_drink",0,0.4,0.67,0,0,1,0.6,0.67,0.83,0.6,0.67,1,1
2023-03-22,54,"چای","food_drink",0,0.4,1,1,1,1,1,0.67,1,1,1,1,1
2023-03-22,55,"چوب شور","food_drink",0,0.2,0.33,0,0,0.33,0.3,0.33,0.5,0.4,0.44,0,0.5
2023-03-22,56,"چیپس","food_drink",0,0.2,1,0,1,1,0.6,0.33,0.83,0.6,0.67,1,1
2023-03-22,57,"خربزه","food_drink",0,0.2,0.33,0,0,1,0.3,0.67,0.17,0.4,0.33,1,1
2023-03-22,58,"خورش","food_drink",0,0,0.33,0,0,0.67,0.1,1,0.33,0.2,0.33,0,1
2023-03-22,59,"خیار","food_drink",0,0,1,0,1,1,0.7,1,1,0.8,0.89,1,1
2023-03-22,60,"رب","food_drink",0,0,0,0,0,0.67,0.5,1,0.5,0.4,0.78,1,1
2023-03-22,61,"دوغ","food_drink",1,0.4,1,0,1,1,0.9,1,1,0.8,1,0,1
2023-03-22,62,"ساندویچ","food_drink",0,0,0.33,0,0,0.67,0.2,0.67,0.5,0.4,0.33,0,1
2023-03-22,63,"سبزی","food_drink",0,0,0.67,0,1,1,0.5,1,0.83,0.6,0.67,1,1
2023-03-22,64,"سس","food_drink",0,0,0.67,0,0,0.67,0.7,1,0.67,0.6,0.89,1,1
2023-03-22,65,"سوپ","food_drink",0,0.2,0.67,0,0,1,0.5,1,0.67,0.8,0.56,0,1
2023-03-22,66,"سوسیس","food_drink",0,0,0.67,0,0,0.67,0.1,0.67,0.33,0.4,0.11,0,0.5
2023-03-22,67,"سیب","food_drink",1,0.6,1,0,1,1,1,1,1,1,0.89,1,1
2023-03-22,68,"سیب زمینی","food_drink",0,0.2,0.33,0,0,1,0.5,0.67,0.83,0.8,0.44,1,1
2023-03-22,69,"شربت","food_drink",0,0,0.33,0,1,1,0.5,1,1,0.6,0.56,0,1
