Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1376,enfurecido,enraged,4.32,1.87,2.73,1.45,3.18,1.34,10,5,VC.CV.CV.CV.CV,"ADJ,V",0.523,0.183,2.718,2,2.100
1377,engano,deceit,2.58,1.39,2.84,1.70,5.02,1.37,6,3,VC.CV.CV,"N,V",8.970,0.999,3.953,4,1.650
1378,engenheiro,engineer,5.06,1.94,5.30,1.51,4.81,1.59,10,4,VC.CV.CCVV.CV,N,25.907,1.430,4.413,1,3.000
1379,engenho,wit,4.16,1.64,4.00,1.96,2.95,1.22,7,3,VC.CV.CCV,N,9.922,1.038,3.997,1,2.100
1380,engraçado,funny,4.21,1.74,3.80,1.86,5.71,1.22,9,4,VC.CCV.CV.CV,"ADJ,N,V",4.573,0.746,3.660,3,1.750
1381,engrenagem,gear,3.66,1.95,4.38,2.00,2.77,1.24,10,4,VC.CCV.CV.CVC,N,2.238,0.510,3.350,0,2.900
1382,enguia,eel,5.86,1.42,6.34,1.13,2.50,0.99,6,3,VC.CVV.V,N,0.655,0.219,2.816,3,1.800
1383,enjoado,seasick,4.03,1.97,3.53,1.72,4.30,1.40,7,4,VC.CV.V.CV,"ADJ,V",0.235,0.092,2.370,2,1.800
1384,enorme,huge,4.62,1.79,4.05,1.65,5.42,1.49,6,3,V.CVC.CV,ADJ,91.234,1.965,4.960,0,1.900
1385,ensaio,rehearsal,4.16,1.92,3.54,1.80,4.53,1.64,6,3,VC.CVV.V,"N,V",23.733,1.393,4.375,3,1.750
1386,enseada,cove,3.49,2.13,3.59,1.81,1.91,0.91,7,4,VC.CV.V.CV,N,0.640,0.215,2.806,2,1.750
1387,ensinamento,teaching,3.87,1.83,3.19,1.74,3.50,1.75,11,5,VC.CV.CV.CVC.CV,N,0.855,0.268,2.932,0,2.500
1388,ensino,education,3.57,1.92,3.92,1.82,5.10,1.37,6,3,VC.CV.CV,"N,V",171.842,2.238,5.235,3,1.750
1389,entediante,tedious,3.30,1.75,2.79,1.72,3.29,1.72,10,5,VC.CV.CV.VC.CV,ADJ,0.420,0.152,2.623,0,2.850
1390,entendimento,agreement,3.39,1.71,2.93,1.68,4.54,1.55,12,5,VC.CVC.CV.CVC.CV,N,35.688,1.565,4.553,0,2.950
1391,enterro,burial,4.86,1.87,4.96,1.82,3.42,1.68,7,3,VC.CVC.CV,"N,V",4.407,0.733,3.644,3,1.750
1392,entidade,entity,3.16,1.78,3.50,1.77,4.12,1.46,8,4,VC.CV.CV.CV,N,53.314,1.735,4.727,0,2.400
1393,entrada,entry,4.71,2.02,4.34,1.90,5.82,1.19,7,3,VC.CCV.CV,"ADJ,N,V",190.338,2.282,5.280,6,1.550
1394,entrega,delivery,3.75,1.81,4.02,1.78,5.09,1.30,7,3,VC.CCV.CV,"N,V",55.683,1.754,4.746,2,1.700
1395,entrevista,interview,4.78,1.66,4.38,1.66,4.69,1.26,10,4,VC.CCV.CVC.CV,"N,V",93.637,1.976,4.971,2,1.750
1396,entusiasmado,enthusiastic,4.03,2.02,3.02,1.97,4.61,1.40,12,6,VC.CV.CV.VC.CV.CV,"ADJ,V",4.319,0.726,3.635,1,2.200
1397,entusiasmo,enthusiasm,4.50,1.79,2.77,1.43,4.84,1.32,10,5,VC.CV.CV.VC.CV,"N,V",29.293,1.481,4.467,2,2.250
1398,envelope,envelope,6.32,1.08,6.16,1.42,4.16,1.29,8,4,VC.CV.CV.CV,N,3.615,0.664,3.558,0,3.200
