Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1595,fabrico,manufacture,3.68,1.77,3.83,1.95,4.03,1.31,7,3,CV.CCV.CV,"N,V",21.085,1.344,4.324,1,1.850
1596,fábula,fable,4.19,1.97,3.76,1.96,2.70,0.97,6,3,CV.CV.CV,N,3.376,0.641,3.528,4,1.750
1597,fabuloso,fabulous,3.92,1.99,2.93,1.89,4.68,1.42,8,4,CV.CV.CV.CV,ADJ,6.248,0.860,3.796,1,2.600
1598,faca,knife,6.03,1.62,6.72,0.53,6.30,0.90,4,2,CV.CV,N,10.039,1.043,4.002,18,1.000
1599,face,face,5.73,1.40,5.77,1.39,4.72,1.58,4,2,CV.CV,N,210.446,2.325,5.323,10,1.400
1600,fachada,façade,4.50,2.04,4.91,1.81,3.24,1.30,7,3,CV.CCV.CV,N,11.950,1.112,4.077,7,1.500
1601,facial,facial,4.78,1.61,4.66,1.67,4.11,1.77,6,3,CV.CV.VC,ADJ,1.026,0.307,3.011,1,1.900
1602,fácil,easy,3.24,2.01,3.11,1.83,6.35,0.91,5,2,CV.CVC,ADJ,109.388,2.043,5.039,0,2.150
1603,facilidade,ease,3.67,1.99,3.20,1.99,4.95,1.37,10,5,CV.CV.CV.CV.CV,N,24.314,1.403,4.386,0,2.200
1604,facto,fact,2.57,1.93,3.47,2.19,5.77,1.26,5,2,CVC.CV,N,536.660,2.731,5.730,11,1.150
1605,factor,factor,2.64,1.53,3.15,1.84,4.97,1.47,6,2,CVC.CVC,N,45.800,1.670,4.661,2,1.800
1606,factura,invoice,5.16,2.03,6.04,1.28,5.14,1.46,7,3,CVC.CV.CV,"N,V",12.130,1.118,4.084,3,1.650
1607,faculdade,college,6.10,1.15,5.88,1.07,6.15,1.25,9,4,CV.CVC.CV.CV,N,18.359,1.287,4.264,0,2.600
1608,fadiga,fatigue,3.72,1.86,3.34,1.80,4.23,1.64,6,3,CV.CV.CV,"N,V",4.167,0.713,3.620,1,1.850
1609,fado,fate,5.22,1.54,3.72,1.96,3.52,1.29,4,2,CV.CV,"N,V",23.484,1.389,4.371,16,1.000
1610,faia,beech,3.20,1.88,4.21,2.23,1.67,0.81,4,2,CVV.V,N,0.630,0.212,2.800,17,1.000
1611,faisão,pheasant,4.67,2.37,5.62,1.96,2.02,1.05,6,2,CVV.CVV,N,0.440,0.158,2.643,0,2.000
1612,faísca,spark,5.39,1.38,4.96,1.68,3.58,1.43,6,3,CV.VC.CV,"N,V",1.089,0.320,3.037,0,1.900
1613,faixa,streak,4.60,1.94,4.64,1.78,4.34,1.23,5,2,CVV.CV,"N,V",26.567,1.440,4.424,4,1.650
1614,falcão,hawk,5.52,1.91,6.40,1.03,3.09,1.18,6,2,CVC.CVV,N,5.242,0.795,3.720,1,1.900
1615,falência,bankrupt,3.32,1.78,3.53,1.74,4.23,1.69,8,3,CV.CVC.CVV,N,23.318,1.386,4.368,1,2.300
1616,falha,flaw,3.26,1.71,3.53,1.76,5.02,1.51,5,2,CV.CCV,"ADJ,N,V",17.089,1.257,4.233,17,1.000
1617,falhado,loser,3.37,1.69,3.34,1.80,3.68,1.42,7,3,CV.CCV.CV,"ADJ,N,V",8.823,0.992,3.946,8,1.450
1618,falhanço,washout,3.52,1.92,3.31,1.70,4.36,1.35,8,3,CV.CCVC.CV,N,8.750,0.989,3.942,1,2.100
1619,falido,broke,3.93,1.99,3.53,1.90,4.24,1.65,6,3,CV.CV.CV,"ADJ,V",1.358,0.373,3.133,4,1.700
1620,falso,false,3.49,1.83,3.47,1.98,5.63,1.17,5,2,CVC.CV,"ADJ,N",19.380,1.309,4.287,5,1.650
1621,falta,foul,3.20,1.75,3.44,1.78,5.75,1.30,5,2,CVC.CV,"ADJ,N,V",317.127,2.503,5.501,11,1.200
1622,fama,fame,4.32,1.97,3.02,1.70,3.98,1.41,4,2,CV.CV,N,17.827,1.275,4.251,14,1.100
1623,família,family,6.16,1.10,5.49,1.54,6.28,0.91,7,3,CV.CV.CVV,N,185.316,2.270,5.268,0,2.500
1624,familiar,familiar,5.11,1.70,4.47,1.71,5.49,1.19,8,4,CV.CV.CV.VC,"ADJ,N",44.501,1.658,4.648,0,2.700
1625,faminto,starving,3.85,1.96,4.31,1.95,3.74,1.74,7,3,CV.CVC.CV,ADJ,0.489,0.173,2.689,1,2.000
1626,famoso,famous,4.79,1.90,4.26,1.82,4.86,1.43,6,3,CV.CV.CV,"ADJ,N",27.119,1.449,4.433,2,1.850
1627,faneca,pout,5.10,2.10,5.93,1.65,2.77,0.93,6,3,CV.CV.CV,"ADJ,N",0.357,0.133,2.552,2,1.850
1628,fantasia,fantasy,4.27,1.99,3.15,1.96,4.00,1.62,8,4,CVC.CV.CV.V,"N,V",10.543,1.062,4.023,3,1.700
1629,fantasma,ghost,5.15,2.08,2.85,2.05,3.75,1.42,8,3,CVC.CVC.CV,"ADJ,N",13.669,1.166,4.136,1,2.450
1630,fantástico,fantastic,3.74,2.08,3.37,1.61,5.91,0.97,10,4,CVC.CVC.CV.CV,"ADJ,N",10.425,1.058,4.018,1,2.750
1631,fardo,burden,4.15,1.87,4.23,2.06,2.89,1.26,5,2,CVC.CV,"N,V",3.171,0.620,3.501,11,1.200
1632,farinha,flour,5.68,1.94,6.41,0.85,4.52,1.28,7,3,CV.CV.CCV,N,8.515,0.978,3.930,5,1.650
1633,farmacêutico,pharmacist,5.65,1.70,6.23,1.04,3.55,1.05,12,5,CVC.CV.CVV.CV.CV,"ADJ,N",3.444,0.648,3.537,1,4.250
1634,farmácia,pharmacy,5.75,2.00,6.49,0.81,4.54,1.35,8,3,CVC.CV.CVV,N,6.678,0.885,3.825,0,2.850
1635,faro,flair,3.68,1.92,4.00,2.14,3.13,1.14,4,2,CV.CV,N,28.750,1.474,4.459,18,1.000
1636,farol,lighthouse,6.07,1.24,6.50,0.87,3.07,1.13,5,2,CV.CVC,N,4.089,0.707,3.612,1,1.850
1637,farolim,headlight,4.09,2.10,5.42,1.98,2.38,1.28,7,3,CV.CV.CVC,N,0.181,0.072,2.257,0,2.850
1638,fascismo,fascism,3.55,1.89,2.93,1.82,2.70,0.91,8,3,CVC.CVC.CV,N,10.303,1.053,4.013,0,2.600
1639,fase,phase,3.13,1.84,3.14,1.82,5.25,1.30,4,2,CV.CV,N,223.368,2.351,5.349,8,1.450
1640,fatal,fatal,3.92,1.94,3.83,1.89,3.53,1.47,5,2,CV.CVC,ADJ,15.579,1.220,4.193,7,1.650
1641,fatia,slice,5.42,1.44,5.68,1.34,5.13,1.11,5,3,CV.CV.V,"N,V",14.373,1.187,4.158,6,1.550
1642,fatigado,fatigued,4.06,1.85,3.38,1.60,3.60,1.84,8,4,CV.CV.CV.CV,"ADJ,V",0.889,0.276,2.949,1,1.750
1643,fato,suit,5.52,1.98,6.44,0.86,4.36,1.59,4,2,CV.CV,N,12.673,1.136,4.103,19,1.000
1644,favela,slum,5.30,1.76,5.08,1.75,2.55,1.00,6,3,CV.CV.CV,N,0.933,0.286,2.970,3,1.800
1645,favor,favour,3.44,1.90,3.17,1.81,5.98,1.25,5,2,CV.CVC,N,112.558,2.055,5.051,3,1.800
1646,favorito,favourite,3.26,1.71,3.19,1.68,5.50,1.27,8,4,CV.CV.CV.CV,"ADJ,N",14.466,1.189,4.160,1,2.600
1647,fé,faith,3.85,1.97,2.40,1.53,4.29,1.57,2,1,CV,N,42.420,1.638,4.628,6,1.600
1648,febre,fever,4.30,1.87,4.65,1.81,3.24,1.01,5,2,CV.CCV,"ADJ,N",12.165,1.119,4.085,4,1.700
1649,fechado,closed,4.37,1.99,4.26,2.12,5.88,1.14,7,3,CV.CCV.CV,"ADJ,N,V",23.435,1.388,4.370,2,1.750
1650,fecho,closure,4.83,2.07,5.33,1.49,5.30,1.33,5,2,CV.CCV,"N,V",45.346,1.666,4.657,3,1.750
1651,federação,federation,3.14,1.69,3.89,1.69,3.60,1.47,9,4,CV.CV.CV.CVV,N,57.374,1.766,4.759,0,2.750
1652,federal,federal,2.98,1.80,3.09,1.63,2.63,1.11,7,3,CV.CV.CVC,ADJ,28.589,1.471,4.456,2,1.850
1653,fedor,stench,3.69,1.93,3.70,1.85,3.91,1.74,5,2,CV.CVC,N,0.410,0.149,2.613,4,1.800
1654,fedorento,stink,4.33,2.09,3.83,1.90,3.03,1.22,9,4,CV.CV.CVC.CV,"ADJ,N",0.122,0.050,2.087,1,2.700
1655,feijão,bean,5.49,1.93,6.47,0.88,4.73,1.28,6,2,CVV.CVV,N,4.851,0.767,3.686,2,1.850
1656,feio,ugly,4.90,1.85,4.10,2.03,5.09,1.54,4,2,CVV.V,ADJ,4.934,0.773,3.693,12,1.050
1657,feira,martket,5.81,1.13,5.75,1.42,4.57,1.29,5,2,CVV.CV,N,67.706,1.837,4.831,12,1.000
1658,feitiço,spell,4.39,1.80,3.19,1.84,3.38,1.46,7,3,CVV.CV.CV,N,1.891,0.461,3.277,0,2.450
1659,felicidade,bliss,5.06,1.73,2.95,1.99,5.35,1.27,10,5,CV.CV.CV.CV.CV,N,17.680,1.271,4.248,0,2.550
1660,felino,feline,5.80,1.42,5.60,1.55,2.77,0.95,6,3,CV.CV.CV,"ADJ,N",0.322,0.121,2.508,2,1.850
1661,feliz,happy,5.05,1.90,3.56,2.10,6.05,1.09,5,2,CV.CVC,ADJ,40.119,1.614,4.603,1,1.950
1662,feminino,female,5.06,2.05,5.12,1.97,5.63,1.34,8,4,CV.CV.CV.CV,ADJ,35.253,1.559,4.547,1,2.450
1663,fenda,crevice,4.59,1.88,4.58,1.76,2.98,1.41,5,2,CVC.CV,"N,V",1.471,0.393,3.168,11,1.300
1664,feno,hay,4.56,2.33,5.81,1.55,2.42,0.91,4,2,CV.CV,N,0.772,0.248,2.888,8,1.450
1665,fenómeno,phenomenon,3.43,1.96,3.50,1.80,4.37,1.29,8,4,CV.CV.CV.CV,N,51.907,1.724,4.715,0,3.000
1666,feriado,holiday,4.39,1.98,4.39,2.04,4.07,1.18,7,4,CV.CV.V.CV,N,1.324,0.366,3.122,3,1.750
1667,férias,vacation,5.59,1.54,4.59,1.90,4.96,1.40,6,3,CV.CV.VC,N,79.079,1.904,4.898,6,1.600
1668,ferida,sore,5.02,1.91,5.89,1.37,4.30,1.35,6,3,CV.CV.CV,"ADJ,N,V",9.355,1.015,3.971,4,1.600
1669,ferido,hurt,4.74,1.82,4.90,1.64,4.41,1.45,6,3,CV.CV.CV,"ADJ,N,V",20.689,1.336,4.316,3,1.550
1670,ferimento,injury,5.13,1.77,5.40,1.36,3.83,1.29,9,4,CV.CV.CVC.CV,N,1.993,0.476,3.300,0,2.100
1671,feroz,fierce,4.19,1.79,3.83,1.71,3.89,1.47,5,2,CV.CVC,ADJ,7.851,0.947,3.895,1,1.900
1672,ferramenta,tool,5.53,1.43,5.83,1.30,4.48,1.38,10,4,CVC.CV.CVC.CV,N,3.386,0.642,3.530,0,2.550
1673,ferro,iron,5.39,1.83,6.31,1.05,3.98,1.34,5,2,CVC.CV,"N,V",42.209,1.636,4.625,12,1.100
1674,festa,party,5.67,1.56,4.48,1.80,5.31,1.45,5,2,CVC.CV,N,111.117,2.050,5.046,14,1.150
1675,festival,festival,5.75,1.30,4.77,1.73,4.10,1.37,8,3,CVC.CV.CVC,N,63.529,1.810,4.803,1,2.200
1676,festivo,festive,4.69,1.83,3.73,1.69,3.75,1.42,7,3,CVC.CV.CV,ADJ,2.755,0.575,3.440,1,1.850
1677,fétido,malodorous,3.31,2.01,3.19,1.64,1.96,0.98,6,3,CV.CV.CV,ADJ,0.327,0.123,2.515,1,1.900
1678,fiança,bail,3.05,1.87,3.86,1.69,2.68,1.10,6,3,CV.VC.CV,N,1.817,0.450,3.259,0,1.800
1679,fibra,fibre,3.71,1.77,4.59,1.67,3.93,1.45,5,2,CV.CCV,N,4.890,0.770,3.689,4,1.700
1680,ficção,fiction,4.29,1.89,3.19,1.76,4.09,1.29,6,2,CVC.CVV,N,31.574,1.513,4.499,4,1.750
1681,ficha,plug,5.32,1.54,4.85,1.62,5.29,1.42,5,2,CV.CCV,"N,V",7.704,0.940,3.887,5,1.600
1682,ficheiro,file,4.84,1.70,5.09,1.39,5.91,1.13,8,3,CV.CCVV.CV,N,6.244,0.860,3.795,1,2.150
1683,fidelidade,faithfulness,3.47,1.75,3.26,1.88,4.23,1.70,10,5,CV.CV.CV.CV.CV,N,13.918,1.174,4.144,0,2.650
1684,fiel,faithful,3.77,1.96,3.17,2.19,4.86,1.36,4,2,CV.VC,"ADJ,N",21.486,1.352,4.332,5,1.650
1685,figo,fig,6.21,1.15,6.66,0.73,3.11,1.19,4,2,CV.CV,N,10.479,1.060,4.020,14,1.200
1686,figura,figure,4.93,1.75,3.95,1.72,5.37,1.51,6,3,CV.CV.CV,"N,V",99.857,2.004,4.999,3,1.600
1687,figurino,figurine,4.15,1.59,4.93,1.48,2.52,0.84,8,4,CV.CV.CV.CV,N,5.950,0.842,3.775,0,2.400
1688,fila,queue,4.85,1.92,5.31,1.29,5.41,1.30,4,2,CV.CV,"N,V",15.648,1.221,4.195,17,1.000
1689,filho,son,5.66,1.52,5.93,1.37,5.47,1.65,5,2,CV.CCV,"N,V",104.844,2.025,5.021,9,1.350
1690,filme,film,6.14,1.06,5.61,1.46,5.96,0.99,5,2,CVC.CV,"N,V",231.526,2.367,5.365,4,1.600
1691,filosofia,philosophy,3.56,2.22,2.56,1.82,3.39,1.29,9,5,CV.CV.CV.CV.V,N,39.029,1.602,4.591,0,2.200
1692,filtro,filter,5.03,1.84,5.30,1.23,3.74,1.62,6,2,CVC.CCV,"N,V",2.360,0.526,3.373,3,1.750
1693,fim,end,3.56,2.06,3.28,2.14,5.74,1.10,3,1,CVC,N,486.268,2.688,5.687,9,1.400
1694,final,final,3.25,2.00,3.55,1.97,5.71,1.31,5,2,CV.CVC,"ADJ,N",566.759,2.754,5.753,5,1.650
1695,finalidade,goal,3.18,1.92,3.21,1.82,4.70,1.43,10,5,CV.CV.CV.CV.CV,N,11.613,1.101,4.065,0,2.250
1696,finança,finance,3.34,1.95,3.53,1.80,4.48,1.55,7,3,CV.CVC.CV,N,1.798,0.447,3.255,0,2.150
1697,financeiro,financial,3.74,1.85,3.83,1.62,4.96,1.48,10,4,CV.CVC.CVV.CV,"ADJ,N",64.086,1.814,4.807,1,2.650
1698,fino,fine,4.85,1.90,4.28,2.01,4.95,1.46,4,2,CV.CV,"ADJ,N,V",8.393,0.973,3.924,19,1.000
1699,fio,thread,5.44,1.91,6.09,1.08,4.52,1.26,3,2,CV.V,"N,V",22.697,1.375,4.356,12,1.000
1700,firma,firm,4.45,1.76,5.30,1.46,3.96,1.64,5,2,CVC.CV,"N,V",20.308,1.329,4.308,4,1.450
1701,firmamento,firmament,2.90,1.87,3.22,1.83,2.46,0.96,10,4,CVC.CV.CVC.CV,N,1.651,0.423,3.218,0,2.600
1702,firme,stiff,3.77,1.93,3.65,1.73,4.18,1.50,5,2,CVC.CV,"ADJ,V",22.155,1.365,4.346,4,1.600
1703,fiscal,fiscal,3.67,1.66,4.34,1.82,3.80,1.55,6,2,CVC.CVC,"ADJ,N",64.340,1.815,4.809,1,1.950
1704,fiscalização,oversight,3.54,1.74,3.73,1.85,3.91,1.59,12,5,CVC.CV.CV.CV.CVV,N,37.651,1.587,4.576,1,2.650
1705,fisco,tax authorities,3.35,1.79,3.66,1.67,4.00,1.57,5,2,CVC.CV,N,11.525,1.098,4.062,9,1.350
1706,físico,physical,4.52,1.72,4.24,1.77,4.98,1.47,6,3,CV.CV.CV,"ADJ,N",23.660,1.392,4.374,2,1.850
1707,fita,tape,5.53,1.66,6.05,1.17,4.80,1.33,4,2,CV.CV,"ADJ,N,V",9.595,1.025,3.982,14,1.000
1708,fixação,fixation,2.70,1.41,3.49,1.78,3.36,1.20,7,3,CV.CV.CVV,N,16.068,1.232,4.206,1,1.850
1709,flácido,flabby,4.44,1.83,3.90,1.80,3.79,1.52,7,3,CCV.CV.CV,ADJ,0.098,0.041,1.990,2,2.150
1710,flamingo,flamingo,5.62,2.05,6.22,1.38,2.32,0.81,8,3,CCV.CVC.CV,N,0.151,0.061,2.180,1,2.600
1711,flauta,flute,5.84,1.67,6.67,0.61,2.69,1.00,6,2,CCVV.CV,"N,V",5.369,0.804,3.730,1,1.850
1712,flecha,shaft,6.05,1.27,6.33,1.01,2.96,1.25,6,2,CCV.CCV,"N,V",3.669,0.669,3.565,1,1.800
1713,flexível,limber,3.87,1.87,3.36,1.98,4.65,1.42,8,3,CCV.CV.CVC,ADJ,6.322,0.865,3.801,0,2.800
1714,flor,flower,6.34,1.04,6.60,0.77,5.02,1.37,4,1,CCVC,N,13.327,1.156,4.125,2,1.600
1715,floresta,forest,6.36,1.01,6.21,1.00,4.25,1.54,8,3,CCV.CVC.CV,N,24.095,1.400,4.382,2,1.700
1716,florestal,forestry,5.41,1.38,5.12,1.88,3.74,1.36,9,3,CCV.CVC.CVC,ADJ,12.399,1.127,4.093,3,2.050
1717,fluxo,flow,3.56,1.57,3.55,1.45,3.70,1.34,5,2,CCV.CV,N,10.079,1.045,4.003,0,1.750
1718,foca,seal,5.53,1.89,6.64,0.89,2.86,0.96,4,2,CV.CV,"N,V",1.685,0.429,3.227,15,1.000
1719,foco,focus,3.57,1.94,3.86,1.65,4.31,1.68,4,2,CV.CV,"N,V",12.883,1.143,4.110,14,1.000
1720,fogão,stove,5.83,1.94,6.56,0.84,5.50,1.39,5,2,CV.CVV,N,2.648,0.562,3.423,3,1.800
1721,fogo,fire,6.06,1.61,6.09,1.16,5.13,1.72,4,2,CV.CV,N,83.916,1.929,4.924,12,1.100
1722,foguetão,rocketship,5.98,1.29,6.19,1.37,2.97,1.31,8,3,CV.CVV.CVV,N,6.820,0.893,3.834,0,2.750
1723,foguete,rocket,5.95,1.24,6.24,1.04,3.36,1.21,7,3,CV.CVV.CV,N,1.417,0.383,3.151,1,2.350
1724,fôlego,breath,4.02,1.91,3.68,1.78,3.64,1.18,6,3,CV.CV.CV,N,10.968,1.078,4.040,1,2.450
1725,folha,leaf,5.97,1.79,6.25,1.02,6.32,0.93,5,2,CV.CCV,"N,V",18.784,1.296,4.274,13,1.150
1726,folheto,leaflet,5.29,1.76,6.16,0.92,3.96,1.11,7,3,CV.CCV.CV,N,5.154,0.789,3.712,3,1.800
1727,folho,frill,4.25,1.77,4.78,2.00,2.22,1.06,5,2,CV.CCV,N,0.049,0.021,1.689,11,1.300
1728,fome,hunger,4.18,1.76,3.54,2.00,6.47,0.94,4,2,CV.CV,N,41.589,1.629,4.619,9,1.450
1729,fonte,source,5.57,1.53,5.71,1.36,4.60,1.43,5,2,CVC.CV,N,151.607,2.184,5.181,5,1.650
1730,força,force,4.84,1.67,3.37,1.69,5.60,1.24,5,2,CVC.CV,"N,V",197.940,2.299,5.297,8,1.350
1731,forçado,forced,3.37,1.86,3.07,1.45,4.07,1.36,7,3,CVC.CV.CV,"ADJ,N,V",12.472,1.129,4.096,6,1.500
1732,forma,shape,3.63,1.99,3.98,1.87,5.45,1.54,5,2,CVC.CV,"N,V",693.636,2.842,5.841,8,1.250
1733,formação,formation,3.58,2.03,3.43,1.52,5.22,1.38,8,3,CVC.CV.CVV,N,197.681,2.298,5.296,2,1.900
1734,formal,formal,3.40,1.84,3.50,1.65,4.53,1.17,6,2,CVC.CVC,"ADJ,N",32.463,1.525,4.511,7,1.550
1735,formato,format,3.27,1.79,3.72,1.57,4.52,1.50,7,3,CVC.CV.CV,"N,V",17.832,1.275,4.251,3,1.800
1736,formiga,ant,5.89,1.48,6.49,0.86,4.07,1.29,7,3,CVC.CV.CV,"N,V",1.700,0.431,3.231,2,1.700
1737,formoso,handsome,4.08,1.80,3.28,1.58,2.98,1.28,7,3,CVC.CV.CV,ADJ,1.407,0.382,3.148,2,1.800
1738,fórmula,formula,4.27,1.79,4.36,1.92,4.64,1.24,7,3,CVC.CV.CV,N,45.395,1.667,4.657,1,2.300
1739,fornecimento,supply,3.17,1.71,3.52,1.41,3.97,1.28,12,5,CVC.CV.CV.CVC.CV,N,19.649,1.315,4.293,0,3.050
1740,forno,oven,5.36,2.02,6.44,0.93,4.84,1.15,5,2,CVC.CV,N,9.864,1.036,3.994,7,1.500
1741,forte,strong,4.69,1.93,4.30,1.99,5.30,1.37,5,2,CVC.CV,"ADJ,ADV,N",186.909,2.274,5.272,14,1.250
1742,fortuna,fortune,5.00,1.79,4.12,1.85,3.78,1.27,7,3,CVC.CV.CV,N,13.772,1.169,4.139,0,2.300
1743,fórum,forum,4.30,1.76,3.86,1.57,4.19,1.52,5,2,CV.CVC,N,39.019,1.602,4.591,0,2.400
1744,fotografia,photograph,6.16,1.08,6.56,0.74,5.36,1.28,10,5,CV.CV.CCV.CV.V,N,48.634,1.696,4.687,1,1.850
1745,fotográfico,photographic,4.80,1.98,4.53,1.65,4.21,1.59,11,5,CV.CV.CCV.CV.CV,ADJ,4.793,0.763,3.681,2,2.200
1746,fotógrafo,photographer,6.24,0.98,6.21,0.92,4.12,1.18,9,4,CV.CV.CCV.CV,N,11.539,1.098,4.062,3,2.050
1747,fracasso,failure,3.28,1.57,3.59,1.95,3.64,1.12,8,3,CCV.CVC.CV,"N,V",21.408,1.350,4.331,2,2.250
1748,fraco,weak,3.31,1.68,2.90,1.78,4.82,1.39,5,2,CCV.CV,"ADJ,N",21.222,1.347,4.327,2,1.700
1749,fragância,fragrance,4.84,1.55,3.79,1.92,3.53,1.42,9,3,CCV.CVC.CVV,N,0.020,0.008,1.290,0,2.650
1750,frágil,frail,3.70,1.94,3.82,1.86,4.59,1.50,6,2,CCV.CVC,ADJ,14.070,1.178,4.148,0,2.550
1751,fragmento,fragment,4.03,1.86,4.32,1.76,3.53,1.23,9,3,CCVC.CVC.CV,"N,V",3.117,0.615,3.494,2,2.350
1752,francês,French,4.24,1.83,4.14,2.07,3.74,1.19,7,2,CCVC.CVC,"ADJ,N",151.397,2.183,5.180,2,1.900
1753,franco,frank,3.27,1.80,2.84,1.45,3.64,1.52,6,2,CCVC.CV,"ADJ,N",14.988,1.204,4.176,6,1.600
1754,franja,fringe,5.44,1.82,5.44,1.55,4.02,1.61,6,2,CCVC.CV,"N,V",2.081,0.489,3.318,5,1.700
1755,fraqueza,weakness,3.79,1.87,3.40,1.97,4.59,1.56,8,3,CCV.CVV.CV,N,9.678,1.029,3.986,2,1.900
1756,frasco,jar,5.59,1.89,6.57,0.79,5.13,1.28,6,2,CCVC.CV,N,1.988,0.475,3.299,3,1.700
1757,frase,sentence,4.98,1.91,4.40,2.03,6.04,1.10,5,2,CCV.CV,N,39.024,1.602,4.591,4,1.650
1758,fraude,fraud,3.57,1.75,3.70,1.82,4.10,1.55,6,2,CCVV.CV,N,18.281,1.285,4.262,1,1.850
1759,freira,nun,6.00,1.49,6.20,1.18,3.18,1.18,6,2,CCVV.CV,N,2.164,0.500,3.335,3,1.600
1760,frenético,frantic,3.23,1.68,3.07,1.76,3.29,1.15,9,4,CCV.CV.CV.CV,ADJ,2.194,0.504,3.341,1,2.550
1761,frente,front,4.37,1.97,3.91,1.86,5.98,1.12,6,2,CCVC.CV,N,343.078,2.537,5.535,2,1.700
1762,frequência,frequency,3.36,1.77,3.35,1.74,5.25,1.31,10,3,CCV.CVVC.CVV,N,34.085,1.545,4.533,0,3.150
1763,frequente,frequent,3.13,1.91,3.59,1.97,5.49,1.30,9,3,CCV.CVVC.CV,"ADJ,V",15.545,1.219,4.192,2,1.950
1764,fresco,fresh,4.21,1.87,4.09,1.60,5.59,1.17,6,2,CCVC.CV,"ADJ,N",13.039,1.147,4.115,2,1.750
1765,frigideira,frying pan,5.47,2.16,6.70,0.63,5.00,1.34,10,4,CCV.CV.CVV.CV,N,1.217,0.346,3.085,0,2.850
1766,frigorífico,refrigerator,6.37,1.19,6.73,0.52,6.40,0.93,11,5,CCV.CV.CV.CV.CV,N,4.011,0.700,3.603,1,3.350
1767,frio,cold,4.84,1.74,4.47,2.04,6.09,0.94,4,2,CCV.V,"ADJ,N",33.211,1.534,4.521,5,1.350
1768,fronteira,border,4.43,1.74,3.83,1.81,3.63,1.18,9,3,CCVC.CVV.CV,"ADJ,N",59.064,1.779,4.771,1,1.950
1769,frota,fleet,4.66,2.06,4.96,1.78,2.53,0.90,5,2,CCV.CV,N,20.714,1.337,4.316,6,1.600
1770,frouxo,slack,3.32,1.71,3.14,1.69,2.04,0.91,6,2,CCVV.CV,"ADJ,N",0.845,0.266,2.927,3,1.750
1771,frustração,frustration,3.55,1.75,2.86,1.73,4.40,1.45,10,3,CCVC.CCV.CVV,N,8.823,0.992,3.946,0,2.800
1772,frustrado,frustrated,3.50,1.71,2.91,1.71,4.26,1.53,9,3,CCVC.CCV.CV,"ADJ,N,V",3.132,0.616,3.496,1,1.800
1773,fruta,fruit,6.25,1.24,6.26,1.17,6.41,0.70,5,2,CCV.CV,"N,V",9.722,1.030,3.988,8,1.500
1774,fruto,fruit,5.96,1.38,6.31,0.77,5.71,1.34,5,2,CCV.CV,"N,V",24.427,1.405,4.388,3,1.750
1775,fuga,escape,3.94,1.86,3.68,1.74,3.95,1.55,4,2,CV.CV,N,47.251,1.684,4.674,13,1.050
1776,fugidio,fleeting,2.92,1.82,3.07,1.60,2.26,1.20,7,4,CV.CV.CV.V,ADJ,0.366,0.136,2.564,1,2.050
1777,fumo,smoke,6.22,1.01,6.19,0.99,5.28,1.42,4,2,CV.CV,"N,V",17.084,1.257,4.233,9,1.450
1778,funcionário,employee,5.13,1.95,5.63,1.25,5.45,1.29,11,5,CVC.CV.V.CV.CVV,N,39.156,1.604,4.593,1,2.650
1779,fundação,foundation,3.41,1.89,3.45,1.75,4.02,1.41,8,3,CVC.CV.CVV,N,40.373,1.617,4.606,2,2.150
1780,fundamental,fundamental,2.77,1.50,3.05,1.79,5.35,1.27,11,4,CVC.CV.CVC.CVC,ADJ,74.125,1.876,4.870,2,2.100
1781,fundamento,foundation,2.39,1.40,3.10,1.74,4.72,1.50,10,4,CVC.CV.CVC.CV,"N,V",13.620,1.165,4.134,2,1.850
1782,fundo,bottom,4.35,1.65,3.49,1.78,4.77,1.44,5,2,CVC.CV,"ADJ,N,V",163.337,2.216,5.213,9,1.300
1783,funeral,funeral,5.19,1.85,5.21,1.83,2.98,1.07,7,3,CV.CV.CVC,"ADJ,N",12.619,1.134,4.101,0,2.650
1784,fungo,fungus,4.94,1.89,5.62,1.64,3.09,1.07,5,2,CVC.CV,"N,V",0.816,0.259,2.912,5,1.650
1785,funil,funnel,5.13,2.11,6.30,1.09,3.14,1.17,5,2,CV.CVC,N,0.875,0.273,2.942,2,1.900
1786,furacão,hurricane,5.45,1.86,5.02,1.87,3.20,1.19,7,3,CV.CV.CVV,N,2.692,0.567,3.430,2,1.950
1787,furão,ferret,4.72,2.26,4.73,2.05,2.61,1.37,5,2,CV.CVV,N,0.176,0.070,2.245,4,1.700
1788,furgão,freight car,3.78,2.12,5.23,2.13,1.86,1.02,6,2,CVC.CVV,N,0.445,0.160,2.648,0,1.950
1789,fúria,fury,4.16,1.83,3.62,1.72,3.68,1.36,5,2,CV.CVV,N,11.495,1.097,4.061,5,1.650
1790,furioso,furious,4.45,1.83,3.49,1.75,4.59,1.14,7,4,CV.CV.V.CV,"ADJ,N",4.030,0.702,3.605,2,2.000
1791,furto,theft,4.43,1.80,3.96,1.93,3.28,1.71,5,2,CVC.CV,"N,V",11.510,1.097,4.061,6,1.550
