Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
bedrukt,5,6,4,6,3,7,5,3,4,5,4,3,4,2,3,2,7,1,4,5,4.15,1.63,0
befaamd,NaN,5,7,5,5,2,4,NaN,5,4,NaN,4,2,4,3,4,3,1,1,5,3.76,1.60,0.15
begaafd,7,5,5,7,5,6,2,2,5,3,3,5,1,4,4,4,2,7,4,4,4.25,1.74,0
begrijpelijk,4,5,6,1,3,3,5,5,3,6,4,2,5,4,6,3,2,4,3,4,3.90,1.41,0
beige,7,7,5,7,4,5,7,7,6,5,7,6,2,6,5,6,7,5,7,7,5.90,1.33,0
bejaard,2,6,5,7,7,2,6,7,5,4,7,5,7,5,6,5,6,5,4,5,5.30,1.49,0
beknopt,5,2,6,4,4,4,6,2,5,5,7,5,5,5,3,5,3,5,4,4,4.45,1.28,0
bekommerd,3,4,7,4,4,4,3,5,5,4,2,5,4,3,3,3,3,2,1,4,3.65,1.31,0
bekrompen,NaN,3,7,5,5,3,5,1,3,4,1,5,2,3,2,2,3,3,1,5,3.32,1.67,0.05
bekwaam,7,4,5,2,6,6,2,2,4,3,2,5,2,1,5,4,2,2,4,5,3.65,1.73,0
belachelijk,4,5,5,6,4,4,2,3,5,3,2,2,1,3,4,4,1,7,5,4,3.70,1.59,0
belangrijk,3,5,5,1,2,4,5,7,6,6,1,4,5,5,5,7,4,6,4,4,4.45,1.70,0
belangrijker,2,5,7,5,7,1,5,2,5,5,1,6,6,4,6,4,2,1,1,4,3.95,2.09,0
belangrijkst,7,7,2,7,5,5,6,4,6,6,7,3,7,5,5,1,6,4,5,4,5.10,1.71,0
belangstellend,3,1,6,6,4,2,5,2,4,6,7,5,5,5,4,5,3,5,4,7,4.45,1.64,0
beminnelijk,3,3,6,6,4,2,5,2,4,5,5,1,4,3,3,6,6,5,3,4,4.00,1.49,0
benauwd,2,5,4,4,4,3,5,7,4,5,4,2,5,5,4,4,3,5,5,2,4.10,1.25,0
bepaald,2,5,7,4,6,3,6,1,6,4,1,3,1,3,2,5,4,3,1,3,3.50,1.88,0
beperkt,4,3,7,3,4,7,3,3,5,5,7,2,4,3,2,5,4,5,4,6,4.30,1.56,0
bergachtig,7,4,5,7,2,6,6,7,5,5,7,6,5,5,6,5,6,7,6,6,5.65,1.23,0
beroemd,5,5,6,1,7,4,7,7,4,6,6,4,5,4,6,5,4,4,5,5,5.00,1.41,0
beschikbaar,3,6,2,2,5,4,5,6,5,7,7,3,5,4,4,2,3,7,6,2,4.40,1.76,0
besmeurd,3,6,7,4,4,7,5,2,4,5,5,7,4,4,2,6,3,7,5,5,4.75,1.59,0
best,2,6,5,7,4,2,6,7,5,4,6,2,4,5,1,3,4,4,1,4,4.10,1.83,0
bestaand,1,2,6,3,4,7,7,2,4,1,6,2,6,6,4,5,5,7,4,7,4.45,2.06,0
beter,5,5,5,4,4,5,3,6,5,5,7,4,3,3,2,2,1,3,2,3,3.85,1.53,0
betrokken,5,6,4,4,6,3,2,2,3,3,3,2,3,1,4,2,1,2,5,5,3.30,1.53,0
betrouwbaar,5,6,6,6,4,5,4,2,7,7,7,4,4,6,2,6,7,2,5,7,5.10,1.71,0
betweterig,6,7,4,5,5,5,2,5,4,4,2,6,3,6,4,4,6,4,4,5,4.55,1.32,0
bevallig,5,5,1,4,3,6,4,3,NaN,4,2,NaN,3,2,2,5,4,3,2,4,3.44,1.34,0.1
bevreesd,3,5,7,5,1,2,5,4,7,6,5,4,4,3,4,5,5,5,4,4,4.40,1.47,0
bewolkt,4,4,3,5,6,7,5,6,6,4,3,7,6,2,4,6,6,7,4,4,4.95,1.47,0
bewust,3,5,4,1,4,2,5,5,4,6,1,2,5,4,5,5,2,5,3,1,3.60,1.60,0
bezet,4,4,4,7,4,2,5,3,5,6,3,7,7,2,7,7,4,7,7,7,5.10,1.83,0
bezig,3,6,7,4,3,3,6,3,4,6,7,3,4,6,2,5,4,7,5,5,4.65,1.57,0
bezitterig,6,7,5,4,5,4,2,2,5,4,3,4,3,4,5,5,6,1,5,5,4.25,1.48,0
bezorgd,3,5,2,3,4,3,5,7,4,6,4,3,5,4,4,5,4,6,5,5,4.35,1.23,0
Bijbels,6,6,4,1,7,5,2,2,6,4,3,6,6,1,6,3,6,1,6,6,4.35,2.06,0
bijdehand,5,7,5,4,4,4,2,2,3,3,2,6,2,3,4,2,4,2,3,5,3.60,1.47,0
bijzonder,5,5,5,2,4,6,4,7,7,6,5,3,6,5,5,4,6,3,5,5,4.90,1.29,0
bitsig,NaN,3,7,3,4,5,5,6,3,5,2,4,2,3,2,NaN,4,2,1,5,3.67,1.61,0.1
bitter,3,4,7,4,5,2,3,2,4,4,5,5,6,4,6,5,2,5,5,7,4.40,1.50,0
bizar,6,3,4,5,3,4,1,3,3,4,3,2,2,3,3,2,7,5,3,3,3.45,1.43,0
blank,6,4,4,7,5,4,5,7,6,7,4,5,5,6,6,7,5,7,5,4,5.45,1.15,0
blauw,7,6,7,7,7,6,6,7,5,6,7,4,7,6,6,7,6,7,5,7,6.30,0.86,0
bleek,5,7,7,3,6,7,6,5,6,5,5,5,5,4,6,2,3,4,5,5,5.05,1.36,0
blij,5,4,4,3,7,4,6,1,5,4,2,5,5,3,3,5,4,2,1,6,3.95,1.64,0
blind,7,3,7,4,6,7,6,7,7,7,7,7,7,6,6,6,7,7,6,7,6.35,1.09,0
bloedig,4,2,7,5,4,7,3,5,4,6,7,5,2,6,1,4,5,4,5,4,4.50,1.67,0
bloedrood,5,6,4,7,7,5,6,2,7,5,3,7,6,1,7,5,7,7,7,7,5.55,1.82,0
blond,7,7,3,7,7,7,6,7,7,7,3,7,7,5,7,7,6,7,7,6,6.35,1.27,0
bloot,2,6,7,5,5,7,4,7,6,6,7,7,6,3,6,5,6,7,6,7,5.75,1.41,0
blut,7,6,7,5,4,7,6,7,7,7,7,7,6,3,5,6,6,7,5,6,6.05,1.15,0
bol,3,1,6,2,7,5,5,7,4,6,7,7,6,6,6,4,2,7,5,5,5.05,1.85,0
bont,6,6,5,2,3,4,2,5,7,4,3,4,5,2,2,5,3,7,1,6,4.10,1.80,0
boos,2,6,2,4,6,5,5,4,6,5,5,6,3,5,4,5,6,4,4,5,4.60,1.23,0
bot,3,4,7,2,5,3,3,3,4,4,3,5,1,4,2,4,4,4,1,6,3.60,1.50,0
bovengenoemd,4,4,6,7,6,5,5,3,NaN,5,4,7,4,5,7,7,6,6,7,7,5.53,1.31,0.05
braaf,5,5,3,4,4,5,3,7,5,4,7,4,3,3,3,2,5,4,3,4,4.15,1.31,0
brandend,5,6,5,6,7,7,4,4,6,6,5,7,4,3,5,4,4,7,5,5,5.25,1.21,0
breed,3,5,2,4,1,2,5,7,4,6,3,2,5,3,4,5,4,6,4,5,4.00,1.56,0
briljant,6,6,5,5,4,4,5,7,4,3,7,2,3,4,5,4,6,2,5,4,4.55,1.43,0
Brits,7,7,5,1,7,7,7,3,7,7,1,7,2,2,7,3,1,7,7,7,5.10,2.53,0
broeds,2,NaN,5,4,2,NaN,NaN,5,4,3,NaN,2,1,NaN,2,2,3,2,5,3,3.00,1.31,0.25
bruikbaar,7,2,5,4,4,5,3,2,5,3,2,2,2,2,5,5,3,6,6,5,3.90,1.62,0
bruin,6,6,1,5,7,4,6,7,6,7,6,6,7,5,6,7,2,5,5,7,5.55,1.64,0
brutaal,4,6,5,5,4,4,5,7,4,6,6,3,5,4,4,5,5,4,6,6,4.90,1.02,0
bruut,4,6,7,5,4,5,2,2,5,6,5,2,4,3,2,5,7,5,4,4,4.35,1.57,0
buitengewoon,2,4,4,1,5,3,5,1,2,5,2,3,5,5,5,6,2,1,5,3,3.45,1.64,0
bulderend,NaN,5,7,3,4,4,5,4,4,5,2,4,2,2,2,5,4,6,4,6,4.11,1.45,0.05
burgerlijk,3,6,5,1,3,5,7,6,5,3,3,1,5,5,5,6,6,6,3,3,4.35,1.73,0
capabel,4,4,5,4,4,5,4,1,5,7,6,3,6,5,7,5,3,3,7,4,4.60,1.54,0
centraal,4,4,7,7,6,4,6,4,5,6,4,4,7,5,5,4,5,4,5,7,5.15,1.18,0
chagrijnig,6,6,4,4,4,6,4,6,3,5,5,7,6,6,6,3,6,3,6,7,5.15,1.31,0
chaotisch,1,4,2,2,5,3,5,7,3,4,2,3,5,4,6,6,6,6,6,2,4.10,1.77,0
charmant,6,7,3,4,4,4,2,4,4,4,5,3,3,5,5,4,5,3,3,5,4.15,1.18,0
chique,5,4,4,4,5,6,4,5,5,3,3,4,3,5,4,3,7,5,2,4,4.25,1.16,0
cirkelvormig,7,7,5,7,3,7,7,7,6,4,6,7,7,6,6,6,7,5,7,7,6.20,1.15,0
commercieel,7,5,3,4,5,1,3,2,4,3,3,3,3,5,4,4,3,3,4,4,3.65,1.27,0
communistisch,4,5,7,6,6,7,7,7,3,6,6,5,7,5,4,7,4,7,5,6,5.70,1.26,0
compleet,3,7,3,1,4,3,5,4,6,7,4,6,5,4,5,5,3,7,4,7,4.65,1.66,0
conventioneel,2,6,NaN,1,1,3,NaN,6,NaN,NaN,3,4,5,4,4,5,4,1,2,5,3.50,1.71,0.2
correct,3,5,7,5,4,7,7,7,7,6,4,5,5,2,3,3,3,4,5,5,4.85,1.60,0
corrupt,6,5,7,6,7,5,6,5,4,6,6,5,3,6,4,6,3,2,7,6,5.25,1.41,0
creatief,6,6,5,5,6,4,2,4,4,4,4,4,5,3,5,5,7,6,4,6,4.75,1.21,0
cultureel,7,3,7,6,3,1,6,2,5,5,7,5,5,6,3,5,5,1,5,7,4.70,1.92,0
dagelijks,7,7,3,7,1,4,7,7,7,6,7,6,7,6,6,7,6,7,6,6,6.00,1.59,0
