Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
fors,4,4,2,1,5,2,5,3,3,4,4,3,5,4,3,4,3,3,5,5,3.60,1.14,0
forser,1,1,3,6,2,2,5,1,5,3,NaN,6,3,5,5,5,5,7,5,4,3.89,1.85,0.05
forst,5,5,2,7,NaN,1,3,1,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,4,3.40,1.90,0.5
fout,6,6,4,1,6,4,5,7,5,6,3,3,5,6,6,3,6,7,3,7,4.95,1.67,0
fraai,1,2,5,5,4,6,4,2,5,4,NaN,4,3,2,4,5,4,4,4,4,3.79,1.27,0.05
Frans,7,6,6,5,7,6,7,4,6,4,2,7,7,6,7,7,7,7,6,7,6.05,1.36,0
frequent,5,6,4,1,7,7,5,3,4,4,4,2,5,5,3,6,5,6,5,1,4.40,1.73,0
frigide,NaN,3,4,2,2,5,NaN,NaN,4,4,NaN,3,1,4,3,3,NaN,2,1,5,3.07,1.28,0.25
fris,6,6,2,5,4,3,3,4,6,4,5,4,6,5,1,6,7,3,1,4,4.25,1.71,0
functioneel,2,4,7,5,6,4,4,5,5,5,1,5,1,4,5,2,4,2,1,3,3.75,1.74,0
fundamenteel,1,5,5,5,7,6,6,7,4,5,1,4,3,4,4,2,3,5,5,6,4.40,1.73,0
gaaf,NaN,3,1,3,4,3,3,1,5,4,6,5,3,2,2,4,3,2,1,4,3.11,1.41,0.05
gaar,7,2,6,6,4,7,2,2,7,7,7,5,6,6,4,4,4,6,4,5,5.05,1.73,0
gans,7,3,5,4,5,1,5,1,7,5,5,6,1,6,2,7,3,3,1,7,4.20,2.19,0
gebloemd,3,2,7,5,4,3,1,2,2,3,7,7,6,3,5,3,3,7,7,5,4.25,2.02,0
gebrekkig,5,1,4,4,4,5,2,5,4,4,5,3,2,4,4,2,1,7,3,4,3.65,1.50,0
gebruikelijk,5,5,6,5,4,1,4,2,7,6,1,4,1,1,5,5,6,3,5,3,3.95,1.90,0
gebruind,2,7,7,5,4,7,5,4,4,7,7,7,4,6,2,7,7,7,6,7,5.60,1.73,0
gedempt,2,6,2,1,4,2,5,7,5,4,7,2,5,4,4,5,4,5,4,5,4.15,1.66,0
gedetailleerd,2,5,4,5,4,3,7,7,5,6,6,4,5,3,5,5,6,7,5,5,4.95,1.36,0
gedrongen,NaN,4,4,3,NaN,5,3,1,4,4,4,6,4,5,3,4,5,1,4,4,3.78,1.26,0.1
geduldig,5,5,7,4,7,6,4,5,4,5,5,6,5,3,4,6,4,3,1,5,4.70,1.42,0
geel,7,7,7,7,7,7,7,7,7,7,3,7,7,1,7,7,7,7,7,7,6.50,1.57,0
geestelijk,5,5,7,3,4,6,5,5,4,4,5,5,5,4,3,4,2,2,1,5,4.20,1.44,0
geestig,6,6,5,5,4,5,4,3,7,6,2,4,6,3,3,5,6,3,3,4,4.50,1.40,0
geheel,4,6,7,2,6,7,6,3,7,7,5,1,6,3,6,6,2,3,4,2,4.65,2.01,0
geheim,5,5,5,4,6,6,5,7,5,6,2,5,7,3,3,5,4,1,3,7,4.70,1.66,0
geïnformeerd,5,5,4,2,5,3,5,6,5,4,2,4,5,5,4,3,5,3,5,6,4.30,1.17,0
gek,3,3,7,3,5,2,4,4,3,4,1,5,7,2,1,4,3,2,1,5,3.45,1.76,0
gekarteld,3,5,7,5,5,NaN,6,7,7,6,7,4,3,5,6,1,5,6,5,6,5.21,1.58,0.05
gekromd,4,4,2,5,4,5,5,1,5,5,2,3,4,4,6,NaN,6,5,6,6,4.32,1.45,0.05
gekruid,NaN,6,7,4,6,5,4,6,6,5,6,5,6,4,4,5,4,6,1,3,4.89,1.41,0.05
geldig,3,6,4,1,4,3,5,4,4,4,6,6,5,5,4,5,3,3,3,3,4.05,1.28,0
geleidelijk,3,5,3,1,4,5,5,4,4,5,4,3,5,4,4,5,3,4,5,3,3.95,1.05,0
geliefd,3,4,7,3,5,2,6,5,3,4,4,4,5,2,4,2,2,3,1,6,3.75,1.59,0
gelijk,4,6,6,2,4,2,6,2,5,5,7,3,6,5,1,6,5,1,4,5,4.25,1.83,0
gelukkig,5,5,5,2,5,5,5,6,5,4,7,5,4,5,4,3,4,3,4,4,4.50,1.10,0
gemakkelijk,3,4,5,1,1,4,5,7,3,5,2,2,5,3,3,3,2,1,4,1,3.20,1.67,0
gemeen,7,6,5,1,2,4,2,4,5,4,3,3,2,4,4,4,3,5,3,5,3.80,1.47,0
gemeenschappelijk,5,5,7,6,6,6,4,7,6,6,5,6,6,3,3,6,6,7,3,6,5.45,1.28,0
gemengd,3,5,7,3,6,4,3,4,4,5,2,4,3,3,3,4,5,2,1,3,3.70,1.42,0
gemiddeld,6,6,2,4,6,3,5,4,6,7,3,3,7,3,6,4,4,6,6,6,4.85,1.53,0
geneeskundig,4,6,7,6,6,7,6,7,4,5,3,5,2,5,5,6,7,7,1,5,5.20,1.70,0
geniaal,5,5,4,4,5,6,1,2,4,3,3,2,3,4,4,3,3,2,3,4,3.50,1.24,0
genoeg,3,1,4,1,5,4,1,3,5,3,3,2,1,1,3,2,3,5,3,5,2.90,1.45,0
genotypisch,NaN,1,6,6,NaN,2,5,2,4,4,6,6,5,6,6,7,6,NaN,7,5,4.94,1.78,0.15
gerespecteerd,2,4,7,4,6,2,4,4,5,5,6,5,7,4,4,5,4,2,7,5,4.60,1.54,0
gering,2,3,5,3,3,3,4,2,5,3,7,2,5,NaN,4,4,5,1,NaN,4,3.61,1.46,0.1
geringer,3,5,4,1,3,1,5,1,3,6,4,1,5,4,3,6,3,3,6,5,3.60,1.70,0
geringst,2,3,2,3,3,1,7,2,5,4,2,4,1,2,3,2,3,3,5,3,3.00,1.45,0
gesloten,4,5,2,5,3,3,5,5,4,6,2,3,5,5,6,6,4,6,5,6,4.50,1.32,0
gestorven,4,7,6,1,7,6,7,7,7,5,7,7,5,5,7,7,7,5,7,7,6.05,1.54,0
geurig,3,2,7,6,4,3,6,2,5,4,6,5,5,3,2,5,3,7,5,5,4.40,1.60,0
gevoelig,5,6,6,4,5,1,6,3,2,4,2,5,5,2,4,5,3,2,1,6,3.85,1.73,0
gevorderd,4,4,4,5,5,6,7,7,5,5,4,4,6,3,5,5,6,6,5,4,5.00,1.08,0
gevuld,3,5,7,4,6,5,6,1,7,6,2,5,6,5,3,5,6,2,1,7,4.60,1.96,0
geweldig,2,7,6,5,3,3,6,2,7,6,7,4,4,3,3,2,7,5,5,4,4.55,1.79,0
gewichtig,2,5,2,1,3,3,5,6,3,4,3,1,5,3,4,4,2,2,3,4,3.25,1.37,0
gewoon,1,6,3,2,4,4,4,2,6,5,5,1,4,3,3,1,4,5,2,5,3.50,1.61,0
gezellig,3,3,7,3,7,4,6,2,6,5,4,5,6,5,3,5,2,3,1,6,4.30,1.75,0
gezond,3,5,3,3,1,5,5,2,5,6,6,5,5,5,5,6,3,4,4,2,4.15,1.46,0
gierig,4,6,6,2,6,4,5,7,3,6,6,2,5,5,4,5,5,4,6,5,4.80,1.36,0
gigantisch,4,6,6,5,6,3,5,7,4,7,1,3,5,4,4,6,4,6,5,3,4.70,1.53,0
glad,5,6,6,4,4,4,6,4,7,1,6,6,6,4,2,2,6,7,5,4,4.75,1.68,0
glibberig,7,7,4,7,3,5,6,6,4,5,4,3,3,3,5,5,6,7,4,6,5.00,1.45,0
glooiend,1,NaN,4,NaN,NaN,5,5,7,NaN,4,6,2,3,NaN,2,4,4,4,5,NaN,4.00,1.62,0.3
godsdienstig,4,3,4,5,4,3,4,7,7,7,7,6,4,3,4,5,6,7,6,7,5.15,1.53,0
goed,3,3,2,1,4,1,6,7,3,3,2,3,5,4,5,5,1,4,2,3,3.35,1.66,0
goedkoop,7,1,4,3,3,7,5,5,6,6,3,6,4,5,4,3,2,7,2,6,4.45,1.82,0
golvend,5,6,3,7,3,6,6,7,5,5,4,6,4,5,3,5,7,4,6,6,5.15,1.31,0
goor,NaN,2,7,3,6,6,4,5,4,4,4,5,7,3,3,5,3,2,1,4,4.11,1.66,0.05
goud,7,7,3,7,5,7,7,7,7,6,6,6,6,7,5,7,7,5,7,7,6.30,1.08,0
gouden,3,6,7,5,6,7,6,7,7,6,7,5,3,6,5,7,5,6,1,5,5.50,1.61,0
graag,4,2,1,3,5,1,1,1,5,4,1,6,7,2,2,1,3,2,1,5,2.85,1.93,0
grandioos,7,7,3,4,5,6,6,1,5,5,7,3,6,2,7,3,4,3,7,5,4.80,1.85,0
grappig,4,6,7,6,4,4,5,2,7,7,7,5,5,6,3,6,7,7,6,5,5.45,1.47,0
grasgroen,6,7,7,7,7,6,7,7,6,6,7,5,7,5,6,7,6,7,3,7,6.30,1.03,0
gratis,7,6,7,6,7,7,7,7,7,7,7,7,6,4,7,7,5,7,7,7,6.60,0.82,0
grauw,4,5,2,1,2,2,5,7,2,4,3,3,5,4,5,3,2,5,5,4,3.65,1.53,0
grijs,5,6,7,5,7,7,7,7,7,6,6,5,2,5,6,5,6,7,7,7,6.00,1.26,0
groen,7,6,7,7,7,6,7,7,5,7,7,2,7,6,6,7,7,7,5,2,6.10,1.55,0
grof,3,6,4,3,3,4,5,7,3,6,3,2,5,4,5,3,4,5,5,6,4.30,1.34,0
groot,2,7,7,2,4,7,3,2,7,7,7,7,4,6,6,6,6,7,3,7,5.35,1.98,0
groots,5,6,7,3,4,1,5,2,5,6,7,3,4,3,4,3,5,5,4,6,4.40,1.60,0
grootst,5,6,2,5,6,2,2,1,4,5,NaN,6,7,2,2,4,4,2,1,4,3.68,1.89,0.05
groter,2,5,4,5,6,4,5,1,5,6,6,5,5,4,6,7,5,7,7,7,5.10,1.59,0
gul,NaN,5,7,3,7,2,3,1,4,4,NaN,5,NaN,4,4,6,4,2,1,4,3.88,1.80,0.15
gunstig,3,5,4,1,4,5,5,2,4,6,5,4,5,5,5,3,3,2,4,2,3.85,1.35,0
guur,4,4,5,1,2,2,5,3,NaN,3,3,3,5,NaN,4,3,2,2,5,5,3.39,1.29,0.1
haastig,4,6,3,1,4,4,5,4,4,7,5,6,5,4,4,4,3,4,6,4,4.35,1.31,0
half,4,7,7,4,6,7,7,7,6,6,1,5,1,5,3,3,5,2,1,7,4.70,2.20,0
handig,4,5,7,5,7,1,6,6,6,5,6,5,4,2,5,5,4,3,1,5,4.60,1.73,0
hangend,5,1,7,6,4,7,7,2,5,4,3,5,2,3,4,7,2,2,6,5,4.35,1.95,0
hangerig,4,4,3,3,4,4,4,1,3,3,2,1,4,2,5,5,5,4,5,4,3.50,1.24,0
hard,2,2,4,4,7,6,4,3,6,7,3,4,3,4,6,6,6,4,6,6,4.65,1.60,0
harig,6,7,4,7,2,5,7,7,6,5,5,6,4,4,6,5,7,5,3,7,5.40,1.47,0
hartelijk,3,3,6,4,4,1,3,2,5,6,5,2,5,4,3,5,5,2,3,5,3.80,1.44,0
hartig,4,3,6,5,4,2,2,2,6,6,5,3,5,3,2,5,3,1,3,5,3.75,1.55,0
hecht,NaN,3,7,4,3,5,6,1,4,5,4,5,3,3,3,5,3,2,1,4,3.74,1.56,0.05
hedendaags,NaN,2,5,6,6,2,7,2,2,5,3,3,2,3,3,6,4,2,5,5,3.84,1.71,0.05
heel,2,3,1,1,4,1,6,2,4,4,2,1,2,5,1,1,5,7,6,4,3.10,1.97,0
heerlijk,2,2,3,4,6,5,3,7,2,4,1,5,7,3,3,2,3,2,1,5,3.50,1.82,0
hees,NaN,6,7,4,7,4,4,5,4,6,7,5,6,5,4,4,5,2,1,7,4.89,1.66,0.05
heet,6,6,5,6,6,4,5,3,6,5,7,4,4,4,7,7,6,6,7,4,5.40,1.23,0
heftig,2,3,6,5,3,7,5,2,5,5,5,5,4,6,3,2,6,5,5,4,4.40,1.47,0
heilig,5,2,7,6,4,1,4,2,7,6,5,7,6,6,1,1,6,1,5,4,4.30,2.20,0
heimelijk,1,5,7,5,NaN,5,3,2,NaN,5,3,7,4,5,5,4,4,4,5,3,4.28,1.53,0.1
hel,5,4,7,3,7,5,4,2,7,5,2,4,7,5,2,7,2,3,1,4,4.30,1.98,0
helder,3,6,4,7,1,5,3,7,4,7,5,1,5,5,6,7,2,6,6,2,4.60,2.01,0
hellend,3,6,4,3,4,3,2,4,5,5,6,2,5,3,2,3,NaN,7,5,5,4.05,1.47,0.05
hemels,5,5,5,5,4,4,3,7,6,4,3,4,4,3,2,6,6,2,2,3,4.15,1.46,0
herhaald,3,3,4,7,5,5,4,3,7,6,4,5,6,3,4,7,6,7,4,7,5.00,1.52,0
hersteld,NaN,5,2,4,5,7,4,2,5,6,2,6,4,3,4,4,5,5,1,5,4.16,1.57,0.05
heus,2,3,3,2,2,2,1,2,5,4,3,1,3,4,1,3,3,1,3,5,2.65,1.23,0
heuvelachtig,5,5,4,7,2,5,6,7,6,6,5,5,6,6,6,5,6,6,2,5,5.25,1.33,0
hevig,5,5,4,5,4,6,4,6,5,4,3,3,3,4,2,6,6,3,2,4,4.20,1.28,0
hip,4,4,5,4,4,4,3,1,3,6,3,4,1,2,4,3,5,2,4,4,3.50,1.28,0
hoekig,7,1,2,7,4,6,5,7,6,5,5,5,6,4,6,6,7,5,6,6,5.30,1.59,0
hoger,5,5,6,3,3,3,6,4,5,7,6,5,5,4,5,7,5,7,6,6,5.15,1.27,0
hol,2,6,3,1,4,2,6,1,6,7,6,2,5,6,6,3,5,1,5,6,4.15,2.06,0
homoseksueel,4,6,7,6,7,7,7,6,4,6,7,6,7,5,6,7,7,4,7,7,6.15,1.09,0
hoog,3,6,6,3,4,7,5,5,7,7,7,7,4,6,5,7,4,7,4,7,5.55,1.47,0
horizontaal,7,7,7,7,6,6,7,5,7,7,3,7,7,5,7,7,7,7,7,7,6.50,1.05,0
huidig,5,5,3,4,7,7,7,7,4,4,4,5,6,1,6,7,4,7,6,5,5.20,1.64,0
huishoudelijk,3,6,5,1,6,3,7,6,5,5,6,1,5,3,6,6,6,2,4,6,4.60,1.82,0
huiverig,5,5,3,5,4,5,4,3,3,5,NaN,3,3,4,3,3,5,4,3,4,3.89,0.88,0.05
humaan,4,3,7,4,4,1,4,4,5,6,4,6,4,3,3,7,6,7,5,4,4.55,1.57,0
humeurig,5,5,5,5,5,7,5,4,5,4,7,7,5,5,5,6,7,3,5,5,5.25,1.07,0
hysterisch,7,5,4,6,4,6,2,6,6,5,2,5,2,5,3,4,2,2,6,5,4.35,1.66,0
ideaal,3,3,1,1,4,1,5,1,3,6,1,1,5,4,3,4,4,1,2,4,2.85,1.63,0
idioot,4,4,7,2,7,3,3,2,6,4,2,5,7,5,3,4,3,2,1,6,4.00,1.86,0
ijdel,5,6,6,6,3,1,4,3,6,7,7,6,5,3,5,6,6,7,6,7,5.25,1.65,0
ijl,4,5,3,1,1,3,5,4,4,4,5,2,5,4,4,3,2,NaN,4,1,3.37,1.38,0.05
ijskoud,5,6,7,5,4,6,6,1,5,3,6,6,5,4,4,5,4,3,5,6,4.80,1.40,0
ijverig,7,2,7,5,4,4,3,2,5,6,7,6,4,4,3,2,6,5,5,4,4.55,1.64,0
ijzig,2,5,6,1,2,3,5,1,3,4,3,4,5,5,5,2,2,4,3,3,3.40,1.47,0
immens,3,5,2,1,6,2,5,1,5,7,5,2,5,4,4,6,4,5,6,7,4.25,1.86,0
imposant,1,6,4,1,3,4,2,4,2,3,3,3,3,3,4,3,1,4,3,5,3.10,1.29,0
impulsief,6,6,5,5,4,5,3,2,3,4,2,5,7,3,5,6,4,5,4,4,4.40,1.35,0
indirect,1,6,3,5,6,7,7,1,4,5,2,3,3,2,2,2,3,3,5,4,3.70,1.87,0
indrukwekkend,5,4,3,4,5,4,2,4,5,3,3,5,3,5,5,3,4,5,3,5,4.00,0.97,0
integraal,4,6,1,5,4,NaN,7,6,4,4,7,4,1,2,1,2,6,6,1,4,3.95,2.09,0.05
intellectueel,6,6,4,5,3,5,4,7,5,6,5,6,5,5,4,6,5,4,4,5,5.00,0.97,0
intelligent,7,5,5,7,5,6,2,2,4,3,3,6,2,5,3,3,3,2,5,6,4.20,1.70,0
intens,2,5,5,5,5,4,4,4,7,5,1,4,3,5,5,5,2,2,5,5,4.15,1.46,0
interessant,5,7,6,5,3,7,3,3,5,3,3,3,3,5,5,3,2,6,5,5,4.35,1.50,0
intrigerend,4,7,5,4,4,6,2,2,2,3,1,5,4,NaN,4,4,2,4,5,4,3.79,1.51,0.05
introvert,3,2,5,6,5,4,2,2,3,4,3,5,4,2,5,4,5,1,3,5,3.65,1.39,0
invalide,2,7,7,5,7,7,7,2,7,6,7,5,2,5,7,5,7,3,5,6,5.45,1.85,0
inwendig,3,5,4,1,2,5,5,7,5,7,6,5,7,6,6,5,5,7,6,4,5.05,1.64,0
inzittend,2,7,4,1,7,2,5,7,4,4,7,3,5,4,5,5,5,3,3,7,4.50,1.85,0
irritant,7,5,4,4,5,6,3,5,6,4,3,4,2,4,5,4,3,3,4,4,4.25,1.21,0
jaarlijks,7,7,7,1,6,7,7,7,6,6,7,7,7,6,6,7,6,7,7,6,6.35,1.35,0
jaloers,4,6,7,3,7,5,6,5,4,5,2,5,6,3,3,5,2,2,1,4,4.25,1.74,0
jarig,7,7,7,1,7,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6.55,1.39,0
jeugdig,5,3,7,5,4,7,4,2,7,5,7,4,5,6,4,5,6,7,4,7,5.20,1.51,0
jong,4,5,2,1,4,5,4,7,3,4,6,3,5,5,5,5,4,NaN,5,4,4.26,1.37,0.05
joods,7,7,6,1,7,7,7,4,4,6,3,7,7,2,7,2,3,6,7,7,5.35,2.11,0
juist,7,7,6,3,6,5,4,6,7,5,7,2,6,3,4,5,7,7,4,4,5.25,1.59,0
kaal,5,6,7,3,5,7,7,7,7,7,7,7,6,6,6,5,7,7,7,6,6.25,1.07,0
kaki,7,7,3,NaN,6,6,7,6,5,3,7,6,2,7,4,5,7,6,5,6,5.53,1.54,0.05
kalm,2,2,6,4,4,2,4,7,6,6,2,6,4,5,4,6,5,3,4,4,4.30,1.56,0
kansloos,2,4,5,5,5,7,4,1,3,4,5,4,2,3,5,2,4,3,1,4,3.65,1.53,0
kapot,6,6,7,7,6,5,7,5,7,7,5,6,7,3,6,2,6,7,6,7,5.90,1.37,0
karig,NaN,NaN,3,5,NaN,NaN,NaN,4,2,3,3,2,3,NaN,3,4,4,3,3,3,3.21,0.80,0.3
katholiek,6,6,4,7,6,7,6,4,6,4,3,6,5,2,6,6,5,2,6,7,5.20,1.54,0
kattig,4,4,5,5,4,6,4,3,4,5,3,3,3,5,5,4,5,4,5,4,4.25,0.85,0
kernachtig,5,6,2,5,4,5,5,5,4,5,1,5,1,2,3,1,3,4,5,4,3.75,1.59,0
kersvers,2,7,5,5,4,3,7,7,5,7,6,5,7,6,5,6,4,4,6,7,5.40,1.47,0
keurig,NaN,4,7,4,6,4,6,6,4,6,4,5,2,3,5,2,5,4,1,6,4.42,1.61,0.05
kil,5,4,7,4,4,5,4,3,3,4,6,4,1,2,2,5,3,2,1,3,3.60,1.57,0
kinderachtig,6,6,7,6,4,7,4,3,6,7,7,4,4,5,4,6,5,5,5,7,5.40,1.27,0
kippig,3,1,4,4,NaN,1,2,1,NaN,NaN,3,NaN,3,3,2,2,NaN,2,4,4,2.60,1.12,0.25
klaar,6,6,4,6,7,3,6,6,7,6,4,7,7,1,6,5,5,7,6,6,5.55,1.54,0
klam,2,4,4,1,4,3,5,4,4,6,6,NaN,5,4,4,3,2,6,6,4,4.05,1.43,0.05
klassiek,7,3,7,5,4,4,3,3,6,4,5,6,3,4,5,4,7,1,7,3,4.55,1.70,0
klein,4,6,7,4,7,5,3,2,7,5,2,5,4,3,3,7,4,3,1,6,4.40,1.85,0
kleiner,3,5,7,1,1,7,7,2,7,7,7,7,5,4,2,7,5,7,4,7,5.10,2.25,0
kleingeestig,5,3,7,5,4,1,3,2,4,3,5,2,5,4,2,4,6,5,4,5,3.95,1.50,0
kleinst,6,7,3,1,5,3,7,7,7,6,6,7,7,5,6,7,6,5,7,7,5.75,1.68,0
kleurig,4,3,6,6,4,3,5,4,5,4,6,7,5,5,1,5,3,7,5,7,4.75,1.55,0
kleurrijk,6,1,5,7,5,5,5,7,6,5,7,6,6,4,5,6,7,4,4,6,5.35,1.42,0
kleverig,4,6,7,6,5,7,6,4,5,6,7,6,4,3,3,5,3,7,5,4,5.15,1.39,0
knalgeel,7,6,NaN,2,6,7,6,6,7,7,6,6,2,6,3,6,3,7,5,6,5.47,1.68,0.05
knap,2,4,3,5,5,7,4,7,3,1,6,1,5,3,4,3,2,1,4,1,3.55,1.90,0
knorrig,5,6,7,6,4,4,3,2,7,6,6,5,4,3,3,6,5,7,5,4,4.90,1.48,0
koel,4,4,4,6,5,5,5,5,4,4,3,3,3,2,2,5,5,6,2,5,4.10,1.25,0
kokend,3,6,5,5,4,4,6,7,5,7,7,7,5,6,6,7,5,6,6,7,5.70,1.17,0
kolkend,5,2,7,6,4,4,5,2,6,4,7,4,4,3,2,6,NaN,7,NaN,5,4.61,1.69,0.1
koppig,4,5,5,1,3,4,5,4,3,5,4,2,5,4,5,4,5,1,6,4,3.95,1.36,0
korrelig,6,7,3,6,2,7,7,6,6,5,5,4,5,4,3,4,7,2,4,6,4.95,1.64,0
kort,3,5,5,5,3,4,5,7,3,6,4,3,5,4,4,6,4,6,4,2,4.40,1.27,0
kostbaar,7,7,5,5,5,6,5,4,5,6,3,6,2,1,5,4,4,5,5,5,4.75,1.48,0
kostelijk,7,7,4,4,5,6,3,2,2,5,5,5,6,2,4,3,7,3,4,4,4.40,1.64,0
koud,2,2,3,6,6,2,5,4,6,4,5,7,3,2,3,7,2,7,3,6,4.25,1.89,0
krachtig,5,5,7,6,4,7,6,2,7,6,5,6,4,5,3,7,5,5,4,5,5.20,1.36,0
krap,5,5,5,1,4,2,4,4,5,3,6,3,3,1,6,6,4,7,6,4,4.20,1.67,0
kras,5,5,2,NaN,4,4,2,3,5,7,2,3,3,NaN,7,6,NaN,7,7,3,4.41,1.87,0.15
kritiek,7,7,5,7,5,3,5,4,6,7,3,7,7,5,4,5,3,7,4,6,5.35,1.50,0
kritisch,3,6,5,1,4,2,5,3,3,6,4,4,5,5,4,7,5,2,6,5,4.25,1.55,0
krom,5,5,5,1,6,4,6,2,7,7,3,5,7,4,7,5,7,7,7,6,5.30,1.78,0
kruidig,7,7,5,6,2,6,6,4,5,5,4,3,2,4,5,5,4,4,4,5,4.65,1.39,0
kuis,2,2,5,6,5,3,4,1,5,6,5,5,3,5,6,5,6,6,6,4,4.50,1.54,0
kunstzinnig,5,4,5,4,4,7,3,1,5,4,3,5,4,5,5,4,6,6,3,5,4.40,1.31,0
kwaad,7,7,4,5,6,5,5,6,6,6,3,6,3,5,4,7,6,4,4,5,5.20,1.24,0
kwalitatief,6,2,5,6,5,7,2,2,6,4,2,3,7,1,3,4,1,6,5,7,4.20,2.07,0
kwaliteitsvol,6,4,5,5,4,5,3,2,4,3,3,2,2,4,5,5,2,2,3,4,3.65,1.27,0
kwijt,5,5,4,7,5,4,7,5,7,7,3,5,5,2,6,6,6,7,6,6,5.40,1.39,0
laag,3,3,6,3,4,7,4,3,5,4,7,7,4,5,3,5,6,7,4,5,4.75,1.48,0
laat,NaN,3,7,5,5,5,5,1,7,5,3,5,1,3,3,4,3,2,1,5,3.84,1.83,0.05
laf,2,5,3,1,4,5,5,3,3,4,5,4,5,4,4,4,3,5,5,3,3.85,1.14,0
lager,5,7,6,3,4,7,4,4,6,3,7,7,5,6,2,5,4,7,3,7,5.10,1.65,0
lam,4,3,4,6,4,7,5,2,7,7,5,7,6,2,4,5,7,7,4,7,5.15,1.73,0
lang,3,5,4,4,5,4,5,1,3,6,5,2,5,5,4,5,4,3,5,2,4.00,1.30,0
langwerpig,4,6,5,3,4,2,5,7,4,7,6,5,5,5,4,6,6,7,5,7,5.15,1.39,0
langzaam,2,6,7,4,7,2,5,5,4,6,6,5,5,3,4,5,3,4,5,5,4.65,1.42,0
lastig,6,6,5,5,3,6,5,7,6,3,3,3,6,4,5,4,5,3,5,5,4.75,1.25,0
lauw,7,7,4,7,4,7,5,2,5,5,2,6,1,2,2,4,5,2,2,6,4.25,2.05,0
leeg,2,6,7,1,4,3,5,1,6,7,7,7,5,5,6,6,4,7,3,1,4.65,2.16,0
legaal,4,6,7,6,7,7,6,5,5,5,3,5,4,2,6,5,7,4,5,6,5.25,1.37,0
lek,NaN,2,NaN,6,5,2,1,5,6,7,2,4,4,5,3,4,6,2,1,7,4.00,2.00,0.1
lekker,6,4,7,4,7,3,4,1,5,4,1,5,6,2,2,4,1,2,1,6,3.75,2.05,0
lelijk,2,4,2,3,5,2,5,7,3,5,1,3,5,4,4,2,2,1,4,3,3.35,1.57,0
lenig,6,6,5,6,5,4,3,7,5,6,3,6,2,3,5,6,6,6,5,5,5.00,1.34,0
leuk,5,6,6,6,4,7,2,3,7,5,7,4,4,6,4,6,7,7,5,6,5.35,1.46,0
levend,7,7,2,7,7,4,7,7,5,7,6,7,1,6,6,7,4,7,6,7,5.85,1.79,0
levendig,5,3,6,6,4,4,6,3,7,6,7,7,6,6,5,6,5,5,5,5,5.35,1.18,0
licht,5,5,7,3,7,7,6,7,5,5,5,6,7,6,4,2,5,2,1,7,5.10,1.86,0
lichtblauw,6,7,7,6,5,7,6,7,7,7,7,6,6,7,5,5,1,7,4,6,5.95,1.47,0
lief,4,4,7,4,4,6,4,5,5,4,7,7,3,5,3,7,6,4,3,5,4.85,1.39,0
lila,7,7,3,7,5,6,7,7,3,6,7,6,4,5,3,5,7,5,7,7,5.70,1.49,0
links,3,6,7,5,6,7,4,7,5,7,7,1,5,5,5,7,4,7,6,7,5.55,1.64,0
log,4,4,4,1,6,1,5,3,NaN,NaN,4,NaN,NaN,NaN,4,5,4,1,3,NaN,3.50,1.56,0.3
logisch,6,5,5,5,5,7,1,4,6,4,4,6,4,3,5,3,6,6,5,3,4.65,1.42,0
lokaal,5,6,6,6,4,7,5,7,5,6,6,7,6,7,5,4,6,7,6,5,5.80,0.95,0
loodrecht,7,7,7,7,7,6,7,5,7,7,2,7,7,1,7,7,7,6,7,7,6.25,1.71,0
los,5,6,3,5,4,1,5,2,2,7,3,3,2,2,1,4,5,4,1,3,3.40,1.73,0
louter,1,1,2,3,4,5,3,1,4,3,NaN,3,6,3,4,5,4,1,4,3,3.16,1.46,0.05
luchtig,3,5,3,1,6,2,5,3,2,5,6,1,5,2,5,4,2,1,3,1,3.25,1.74,0
lui,6,6,7,5,4,6,2,2,6,6,7,5,6,6,3,7,5,7,5,7,5.40,1.57,0
luid,2,6,4,4,5,3,5,7,4,6,6,2,5,4,3,6,4,5,5,4,4.50,1.36,0
lusteloos,4,4,5,2,2,6,2,2,3,4,2,6,3,4,2,2,2,7,2,2,3.30,1.63,0
luxe,5,6,7,5,5,7,5,7,6,6,4,7,7,5,6,6,7,7,6,6,6.00,0.92,0
maatschappelijk,4,7,4,1,5,4,6,7,5,4,5,4,5,5,6,3,2,4,4,2,4.35,1.57,0
machtig,2,5,4,4,5,4,5,7,3,6,6,2,5,4,5,3,2,5,6,5,4.40,1.43,0
magenta,NaN,7,3,7,4,6,6,7,6,NaN,NaN,NaN,7,6,NaN,6,7,6,NaN,NaN,6.00,1.22,0.35
mager,4,6,6,5,4,7,5,7,7,7,7,6,3,6,4,6,7,7,3,7,5.70,1.42,0
magisch,4,3,7,5,4,1,5,2,5,6,7,4,3,6,3,2,7,7,5,5,4.55,1.82,0
mal,5,5,5,3,3,2,2,1,5,5,1,2,3,3,3,5,NaN,3,3,3,3.26,1.37,0.05
marginaal,4,7,5,5,3,5,3,2,5,4,3,6,3,5,3,3,4,3,5,4,4.10,1.25,0
