MOT,WORD,Mean_BOI,SD_BOI
Montagne,Moutain,1.53,1.85
Montre,Watch,3.19,1.92
Mouche,Fly,1.81,1.81
Mouette,Seagull,0.89,1.31
Moulin,Mill,1.24,1.60
Moustique,Mosquito,1.54,1.62
Musique,Music,0.89,1.56
Nenuphar,Nenuphar,1.56,1.85
Niche,Doghouse,2.09,2.01
Nid,Nest,1.45,1.65
Noeud,Knot,2.54,1.98
Océan,Ocean,1.93,1.78
Oignon,Onion,3.02,1.90
Oiseau,bird,1.70,1.72
Orange,Orange,3.50,1.77
Ordinateur,Computer,4.22,1.43
Oreiller,Pillow,3.85,1.76
Orties,Nettles,1.93,1.82
Ours,Bear,1.02,1.57
Palette,Pallet,2.22,1.97
Panda,Panda,1.19,1.72
Panier,Basket,3.11,1.88
Pansement,Bandage,3.41,1.75
Pantalon,Trousers,3.63,1.89
Papillon,Butterfly,1.69,1.75
Paquerette,Daisy,2.79,1.94
Parapluie,Umbrella,3.42,1.71
Parterre de fleurs,Flowerbed,2.47,1.91
Partition,Music sheet,2.50,2.05
Peche,Peach,2.78,2.05
Pelote de laine,Yarn ball,2.57,1.94
Perroquet,Parrot,1.33,1.54
Phoque,Seal,1.08,1.55
Piano,Piano,3.14,1.90
Pile,Battery,2.98,1.95
Pince à linge,Clothespin,3.37,1.82
Pinceau,Brush,2.92,2.04
Pingouin,Penguin,1.02,1.57
Pipe,Pipe,2.40,2.03
Pistolet,Pistol,2.21,1.96
Pluie,Rain ,2.86,1.91
Poêle,Pan,3.65,1.71
Poire,Pear,3.11,1.87
Poivron,Pepper,3.21,1.88
Pomme,Apple,3.45,1.78
Poney,Pony,2.46,1.88
Pot,Pot,3.10,1.84
Poubelle,Bin,3.22,1.87
Poule,Chicken,1.87,1.67
Poulpe,Octopus,1.23,1.57
Poussin,Chick,1.98,1.82
Presse-agrumes,Juicer,2.89,2.04
Princesse,Princess,0.91,1.55
Prise,Socket,2.61,1.92
Prison,Jail,1.02,1.59
Radis,Radish,2.88,2.00
Raisin,Grape,3.21,1.91
Raquette,Racket,2.69,1.91
Rat,Rat,1.01,1.44
Requin,Shark,1.11,1.67
Robinet,Tap,3.57,1.77
Rose,Rose,3.04,1.91
Rouge à lèvres,Lipstick,3.02,1.87
Ruche,Hive,1.32,1.72
Sang,Blood,2.23,1.88
Sauterelle,Grasshopper,1.16,1.50
Scarabée,Beetle,1.22,1.69
Scie,Saw,2.60,2.04
Scorpion,Scorpion,1.14,1.62
Sèche-cheveux,Hair dryer,3.65,1.64
Selle,Saddle,2.40,1.96
Serpent,Snake,1.02,1.37
Soldat,Soldier,0.85,1.44
Soleil,Sun,0.62,1.38
Sourire,Smile,1.53,1.97
Souris,Mouse,1.30,1.62
Squelette,Skeleton,1.58,1.95
Stylo,Pen,3.73,1.70
Sucette,Lollipop,3.31,1.84
Tabouret,Stool,3.69,1.57
Taille-crayon,pencil sharpener,3.37,1.84
Tasse,Cup,3.84,1.68
Télécommande,Remote control,4.03,1.51
Télévision,Television,3.46,1.87
Tire-bouchon,Corkscrew,3.39,1.80
Tong,Tong,3.40,1.72
Torchon,Kitchen towel,3.11,1.82
Tortue,Turtle,1.82,1.84
Tournevis,Screwdriver,2.92,1.95
Trésor,Treasure,0.99,1.65
Vacances,Holidays,0.84,1.50
Vache,Cow,2.05,1.71
Vague,Wave,1.71,1.67
Vampire,Vampire,0.43,1.19
Ver de terre,Worm,1.82,1.94
Violon,Violin,2.85,2.04
Volant de badminton,Badminton shuttlecock,2.58,1.93
Voleur,Thief,0.56,1.14
